iter	Passed	Remaining
757	1268	405
758	1270	403
759	1271	401
760	1272	399
761	1274	398
762	1276	396
763	1277	394
764	1278	392
765	1279	390
766	1280	389
767	1281	387
768	1282	385
769	1284	383
770	1285	381
771	1286	379
772	1289	378
773	1291	377
774	1293	375
775	1294	373
776	1295	371
777	1296	370
778	1297	368
779	1298	366
780	1299	364
781	1301	362
782	1304	361
783	1306	359
784	1307	358
785	1308	356
786	1309	354
787	1310	352
788	1312	350
789	1313	349
790	1314	347
791	1315	345
792	1318	344
793	1319	342
794	1321	340
795	1322	338
796	1323	337
797	1324	335
798	1325	333
799	1326	331
800	1327	329
801	1328	328
802	1330	326
803	1333	324
804	1335	323
805	1336	321
806	1337	319
807	1339	318
808	1340	316
809	1341	314
810	1342	312
811	1343	311
812	1344	309
813	1347	307
814	1349	306
815	1351	304
816	1352	302
817	1353	301
818	1354	299
819	1355	297
820	1356	295
821	1357	293
822	1358	292
823	1360	290
824	1362	288
825	1364	287
826	1365	285
827	1366	283
828	1368	282
829	1369	280
830	1370	278
831	1371	276
832	1372	275
833	1373	273
834	1376	271
835	1377	270
836	1379	268
837	1381	266
838	1382	265
839	1383	263
840	1384	261
841	1385	259
842	1386	258
843	1387	256
844	1389	254
845	1391	253
846	1393	251
847	1394	250
848	1396	248
849	1397	246
850	1398	244
851	1399	243
852	1400	241
853	1401	239
854	1404	238
855	1405	236
856	1408	234
857	1409	233
858	1410	231
859	1412	229
860	1413	228
861	1414	226
862	1415	224
863	1417	223
864	1419	221
865	1422	220
866	1424	218
867	1425	216
868	1426	215
869	1427	213
870	1428	211
871	1430	209
872	1431	208
873	1434	206
874	1435	205
875	1438	203
876	1439	201
877	1440	200
878	1441	198
879	1442	196
880	1444	195
881	1445	193
882	1447	191
883	1449	190
884	1451	188
885	1453	187
886	1454	185
887	1456	183
888	1457	181
889	1458	180
890	1459	178
891	1460	176
892	1463	175
893	1465	173
894	1467	172
895	1469	170
896	1470	168
897	1471	167
898	1472	165
899	1473	163
900	1474	162
901	1476	160
902	1479	158
903	1481	157
904	1482	155
905	1483	153
906	1485	152
907	1486	150
908	1487	148
909	1488	147
910	1489	145
911	1491	143
912	1493	142
913	1495	140
914	1497	139
915	1498	137
916	1499	135
917	1501	134
918	1502	132
919	1503	130
920	1504	129
921	1507	127
922	1508	125
923	1510	124
924	1512	122
925	1513	120
926	1514	119
927	1515	117
928	1516	115
929	1517	114
930	1519	112
931	1522	111
932	1525	109
933	1526	107
934	1527	106
935	1529	104
936	1530	102
937	1531	101
938	1532	99
939	1534	97
940	1537	96
941	1539	94
942	1541	93
943	1542	91
944	1543	89
945	1544	88
946	1546	86
947	1547	84
948	1548	83
949	1553	81
950	1555	80
951	1557	78
952	1558	76
953	1559	75
954	1560	73
955	1562	71
956	1563	70
957	1566	68
958	1569	67
959	1570	65
960	1572	63
961	1573	62
962	1574	60
963	1576	58
964	1577	57
965	1578	55
966	1582	53
967	1585	52
968	1586	50
969	1587	49
970	1588	47
971	1590	45
972	1591	44
973	1592	42
974	1595	40
975	1597	39
976	1599	37
977	1601	36
978	1602	34
979	1603	32
980	1604	31
981	1605	29
982	1606	27
983	1609	26
984	1611	24
985	1614	22
986	1615	21
987	1616	19
988	1618	17
989	1619	16
990	1620	14
991	1621	13
992	1623	11
993	1625	9
994	1628	8
995	1629	6
996	1630	4
997	1632	3
998	1633	1
999	1634	0
